SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1589013_BC04_ARN0048_s2h2s1_U133p2.CEL.gz	GSM1589013	GSE65194	Cancer	Her2	NA
GSM1589014_BC16_ARN0084_s1h1s1_U133p2.CEL.gz	GSM1589014	GSE65194	Cancer	TNBC	NA
GSM1589015_BC04_ARN0010_s1h1s1_U133p2.CEL.gz	GSM1589015	GSE65194	Cancer	TNBC	NA
GSM1589016_BC04_ARN0049_s1h1s1_U133p2.CEL.gz	GSM1589016	GSE65194	Cancer	TNBC	Yes
GSM1589017_BC04_ARN0050_s1h1s1_U133p2.CEL.gz	GSM1589017	GSE65194	Cancer	TNBC	NA
GSM1589018_BC16_ARN0118_s1h2s1_U133p2.CEL.gz	GSM1589018	GSE65194	Cancer	Her2	NA
GSM1589019_BC04_ARN0013_s1h1s1_U133p2.CEL.gz	GSM1589019	GSE65194	Cancer	Her2	NA
GSM1589020_BC04_ARN0051_s4h1s1_U133p2.CEL.gz	GSM1589020	GSE65194	Cancer	Her2	NA
GSM1589021_BC04_ARN0052_s1h1s1_U133p2.CEL.gz	GSM1589021	GSE65194	Cancer	Her2	NA
GSM1589022_BC16_ARN0077_s1h1s1_U133p2.CEL.gz	GSM1589022	GSE65194	Cancer	Her2	NA
GSM1589023_BC04_ARN0053_s1h1s1_U133p2.CEL.gz	GSM1589023	GSE65194	Cancer	Her2	NA
GSM1589024_BC04_ARN0054_s1h1s1_U133p2.CEL.gz	GSM1589024	GSE65194	Cancer	TNBC	NA
GSM1589025_BC04_ARN0056_s1h1s1_U133p2.CEL.gz	GSM1589025	GSE65194	Cancer	Her2	NA
GSM1589026_BC04_ARN0014_s1h1s1_U133p2.CEL.gz	GSM1589026	GSE65194	Cancer	Her2	NA
GSM1589027_BC04_ARN0015_s1h1s1_U133p2.CEL.gz	GSM1589027	GSE65194	Cancer	Her2	NA
GSM1589028_BC16_ARN0124_s1h1s1_U133p2.CEL.gz	GSM1589028	GSE65194	Cancer	TNBC	NA
GSM1589029_BC04_ARN0057_s1h1s1_U133p2.CEL.gz	GSM1589029	GSE65194	Cancer	TNBC	NA
GSM1589030_BC04_ARN0016_s1h1s1_U133p2.CEL.gz	GSM1589030	GSE65194	Cancer	Her2	NA
GSM1589031_BC16_ARN0042_s1h1s1_U133p2.CEL.gz	GSM1589031	GSE65194	Cancer	TNBC	NA
GSM1589032_BC04_ARN0017_s1h1s1_U133p2.CEL.gz	GSM1589032	GSE65194	Cancer	TNBC	NA
GSM1589033_BC04_ARN0059_s1h1s1_U133p2.CEL.gz	GSM1589033	GSE65194	Cancer	Her2	NA
GSM1589034_BC04_ARN0061_s2h1s1_U133p2.CEL.gz	GSM1589034	GSE65194	Cancer	Her2	NA
GSM1589035_BC16_ARN0055_s1h1s1_U133p2.CEL.gz	GSM1589035	GSE65194	Cancer	TNBC	NA
GSM1589036_BC04_ARN0063_s1h1s1_U133p2.CEL.gz	GSM1589036	GSE65194	Cancer	TNBC	NA
GSM1589037_BC04_ARN0064_s1h1s1_U133p2.CEL.gz	GSM1589037	GSE65194	Cancer	TNBC	NA
GSM1589038_BC04_ARN0065_s1h1s1_U133p2.CEL.gz	GSM1589038	GSE65194	Cancer	TNBC	NA
GSM1589039_BC16_ARN0069_s1h1s1_U133p2.CEL.gz	GSM1589039	GSE65194	Cancer	TNBC	NA
GSM1589040_BC04_ARN0020_s1h1s1_U133p2.CEL.gz	GSM1589040	GSE65194	Cancer	TNBC	NA
GSM1589041_BC04_ARN0066_s1h1s1_U133p2.CEL.gz	GSM1589041	GSE65194	Cancer	TNBC	Yes
GSM1589042_BC04_ARN0067_s1h1s1_U133p2.CEL.gz	GSM1589042	GSE65194	Cancer	TNBC	NA
GSM1589043_BC04_ARN0069_s1h1s1_U133p2.CEL.gz	GSM1589043	GSE65194	Cancer	TNBC	Yes
GSM1589044_BC04_ARN0018_s1h1s1_U133p2.CEL.gz	GSM1589044	GSE65194	Cancer	Her2	NA
GSM1589045_BC04_ARN0011_s1h1s1_U133p2.CEL.gz	GSM1589045	GSE65194	Cancer	TNBC	NA
GSM1589046_BC04_ARN0021_s1h1s1_U133p2.CEL.gz	GSM1589046	GSE65194	Cancer	Her2	NA
GSM1589047_BC16_ARN0070_s1h1s1_U133p2.CEL.gz	GSM1589047	GSE65194	Cancer	Her2	NA
GSM1589048_BC04_ARN0022_s1h1s1_U133p2.CEL.gz	GSM1589048	GSE65194	Cancer	Her2	NA
GSM1589049_BC04_ARN0023_s1h1s1_U133p2.CEL.gz	GSM1589049	GSE65194	Cancer	Her2	NA
GSM1589050_BC04_ARN0071_s2h1s1_U133p2.CEL.gz	GSM1589050	GSE65194	Cancer	Her2	NA
GSM1589051_BC04_ARN0072_s1h1s1_U133p2.CEL.gz	GSM1589051	GSE65194	Cancer	Her2	NA
GSM1589052_BC04_ARN0073_s1h1s1_U133p2.CEL.gz	GSM1589052	GSE65194	Cancer	Her2	NA
GSM1589053_BC04_ARN0074_s1h1s1_U133p2.CEL.gz	GSM1589053	GSE65194	Cancer	Her2	NA
GSM1589054_BC16_ARN0130_s1h1s1_U133p2.CEL.gz	GSM1589054	GSE65194	Cancer	TNBC	NA
GSM1589055_BC04_ARN0070_s1h1s1_U133p2.CEL.gz	GSM1589055	GSE65194	Cancer	TNBC	NA
GSM1589056_BC04_ARN0068_s1h1s1_U133p2.CEL.gz	GSM1589056	GSE65194	Cancer	TNBC	NA
GSM1589057_BC04_ARN0035_s1h1s1_U133p2.CEL.gz	GSM1589057	GSE65194	Cancer	Her2	NA
GSM1589058_BC16_ARN0117_s1h1s1_U133p2.CEL.gz	GSM1589058	GSE65194	Cancer	TNBC	NA
GSM1589059_BC04_ARN0037_s1h1s1_U133p2.CEL.gz	GSM1589059	GSE65194	Cancer	TNBC	NA
GSM1589060_BC04_ARN0055_s1h1s1_U133p2.CEL.gz	GSM1589060	GSE65194	Cancer	TNBC	NA
GSM1589061_BC04_ARN0058_s1h1s1_U133p2.CEL.gz	GSM1589061	GSE65194	Cancer	TNBC	NA
GSM1589062_BC04_ARN0019_s1h1s1_U133p2.CEL.gz	GSM1589062	GSE65194	Cancer	TNBC	NA
GSM1589063_BC04_ARN0062_s1h1s1_U133p2.CEL.gz	GSM1589063	GSE65194	Cancer	TNBC	NA
GSM1589064_BC16_ARN0065_s1h1s1_U133p2.CEL.gz	GSM1589064	GSE65194	Cancer	Luminal A	NA
GSM1589065_BC16_ARN0106_s1h1s1_U133p2.CEL.gz	GSM1589065	GSE65194	Cancer	Luminal A	NA
GSM1589066_BC16_ARN0126_s1h1s1_U133p2.CEL.gz	GSM1589066	GSE65194	Cancer	Luminal A	NA
GSM1589067_BC16_ARN0080_s1h1s1_U133p2.CEL.gz	GSM1589067	GSE65194	Cancer	Luminal A	NA
GSM1589068_BC16_ARN0036_s1h1s1_U133p2.CEL.gz	GSM1589068	GSE65194	Cancer	Luminal A	NA
GSM1589069_BC16_ARN0105_s1h1s1_U133p2.CEL.gz	GSM1589069	GSE65194	Cancer	Luminal A	NA
GSM1589070_BC16_ARN0092_s1h1s1_U133p2.CEL.gz	GSM1589070	GSE65194	Cancer	Luminal A	NA
GSM1589071_BC16_ARN0125_s1h1s1_U133p2.CEL.gz	GSM1589071	GSE65194	Cancer	Luminal A	NA
GSM1589072_BC16_ARN0112_s1h1s1_U133p2.CEL.gz	GSM1589072	GSE65194	Cancer	Luminal A	NA
GSM1589073_BC16_ARN0037_s1h1s1_U133p2.CEL.gz	GSM1589073	GSE65194	Cancer	Luminal A	NA
GSM1589074_BC16_ARN0079_s1h1s1_U133p2.CEL.gz	GSM1589074	GSE65194	Cancer	Luminal A	NA
GSM1589075_BC16_ARN0132_s1h1s1_U133p2.CEL.gz	GSM1589075	GSE65194	Cancer	Luminal A	NA
GSM1589076_BC16_ARN0133_s1h1s1_U133p2.CEL.gz	GSM1589076	GSE65194	Cancer	Luminal A	NA
GSM1589077_BC16_ARN0058_s1h1s1_U133p2.CEL.gz	GSM1589077	GSE65194	Cancer	Luminal A	NA
GSM1589078_BC16_ARN0119_s1h1s1_U133p2.CEL.gz	GSM1589078	GSE65194	Cancer	Luminal A	NA
GSM1589079_BC16_ARN0086_s1h1s1_U133p2.CEL.gz	GSM1589079	GSE65194	Cancer	Luminal A	NA
GSM1589080_BC16_ARN0064_s1h1s1_U133p2.CEL.gz	GSM1589080	GSE65194	Cancer	Luminal A	NA
GSM1589081_BC16_ARN0071_s1h1s1_U133p2.CEL.gz	GSM1589081	GSE65194	Cancer	Luminal A	NA
GSM1589082_BC16_ARN0072_s1h1s1_U133p2.CEL.gz	GSM1589082	GSE65194	Cancer	Luminal A	NA
GSM1589083_BC16_ARN0051_s1h1s1_U133p2.CEL.gz	GSM1589083	GSE65194	Cancer	Luminal A	NA
GSM1589084_BC16_ARN0111_s1h1s1_U133p2.CEL.gz	GSM1589084	GSE65194	Cancer	Luminal A	NA
GSM1589085_BC16_ARN0099_s1h1s1_U133p2.CEL.gz	GSM1589085	GSE65194	Cancer	Luminal A	NA
GSM1589086_BC16_ARN0057_s1h1s1_U133p2.CEL.gz	GSM1589086	GSE65194	Cancer	Luminal A	NA
GSM1589087_BC16_ARN0104_s1h1s1_U133p2.CEL.gz	GSM1589087	GSE65194	Cancer	Luminal A	NA
GSM1589088_BC16_ARN0113_s1h1s1_U133p2.CEL.gz	GSM1589088	GSE65194	Cancer	Luminal A	NA
GSM1589089_BC16_ARN0045_s1h1s1_U133p2.CEL.gz	GSM1589089	GSE65194	Cancer	Luminal A	NA
GSM1589090_BC16_ARN0098_s1h1s1_U133p2.CEL.gz	GSM1589090	GSE65194	Cancer	Luminal A	NA
GSM1589091_BC16_ARN0078_s1h1s1_U133p2.CEL.gz	GSM1589091	GSE65194	Cancer	Luminal A	NA
GSM1589092_BC16_ARN0085_s1h1s1_U133p2.CEL.gz	GSM1589092	GSE65194	Cancer	Luminal A	NA
GSM1589093_BC16_ARN0129_s1h1s1_U133p2.CEL.gz	GSM1589093	GSE65194	Cancer	Luminal B	NA
GSM1589094_BC16_ARN0046_s1h1s1_U133p2.CEL.gz	GSM1589094	GSE65194	Cancer	Luminal B	NA
GSM1589095_BC16_ARN0115_s1h1s1_U133p2.CEL.gz	GSM1589095	GSE65194	Cancer	Luminal B	NA
GSM1589097_BC16_ARN0054_s1h1s1_U133p2.CEL.gz	GSM1589097	GSE65194	Cancer	Luminal B	NA
GSM1589098_BC16_ARN0074_s1h1s1_U133p2.CEL.gz	GSM1589098	GSE65194	Cancer	Luminal B	NA
GSM1589099_BC16_ARN0066_s1h1s1_U133p2.CEL.gz	GSM1589099	GSE65194	Cancer	Luminal B	NA
GSM1589101_BC16_ARN0123_s1h1s1_U133p2.CEL.gz	GSM1589101	GSE65194	Cancer	Luminal B	NA
GSM1589103_BC16_ARN0087_s1h1s1_U133p2.CEL.gz	GSM1589103	GSE65194	Cancer	Luminal B	NA
GSM1589105_BC16_ARN0041_s1h1s1_U133p2.CEL.gz	GSM1589105	GSE65194	Cancer	Luminal B	NA
GSM1589107_BC16_ARN0067_s1h1s1_U133p2.CEL.gz	GSM1589107	GSE65194	Cancer	Luminal B	NA
GSM1589109_BC16_ARN0075_s1h1s1_U133p2.CEL.gz	GSM1589109	GSE65194	Cancer	Luminal B	NA
GSM1589110_BC16_ARN0136_s1h1s1_U133p2.CEL.gz	GSM1589110	GSE65194	Cancer	Luminal B	NA
GSM1589111_BC16_ARN0040_s1h1s1_U133p2.CEL.gz	GSM1589111	GSE65194	Cancer	Luminal B	NA
GSM1589112_BC16_ARN0089_s1h1s1_U133p2.CEL.gz	GSM1589112	GSE65194	Cancer	Luminal B	NA
GSM1589113_BC16_ARN0088_s1h1s1_U133p2.CEL.gz	GSM1589113	GSE65194	Cancer	Luminal B	NA
GSM1589114_BC16_ARN0093_s1h1s1_U133p2.CEL.gz	GSM1589114	GSE65194	Cancer	Luminal B	NA
GSM1589115_BC16_ARN0059_s1h1s1_U133p2.CEL.gz	GSM1589115	GSE65194	Cancer	Luminal B	NA
GSM1589116_BC16_ARN0094_s1h1s1_U133p2.CEL.gz	GSM1589116	GSE65194	Cancer	Luminal B	NA
GSM1589117_BC16_ARN0135_s1h1s1_U133p2.CEL.gz	GSM1589117	GSE65194	Cancer	Luminal B	NA
GSM1589118_BC16_ARN0083_s1h1s1_U133p2.CEL.gz	GSM1589118	GSE65194	Cancer	Luminal B	NA
GSM1589119_BC16_ARN0122_s1h1s1_U133p2.CEL.gz	GSM1589119	GSE65194	Cancer	Luminal B	NA
GSM1589120_BC16_ARN0053_s1h1s1_U133p2.CEL.gz	GSM1589120	GSE65194	Cancer	Luminal B	NA
GSM1589121_BC16_ARN0068_s1h1s1_U133p2.CEL.gz	GSM1589121	GSE65194	Cancer	Luminal B	NA
GSM1589122_BC16_ARN0048_s1h1s1_U133p2.CEL.gz	GSM1589122	GSE65194	Cancer	Luminal B	NA
GSM1589123_BC16_ARN0101_s1h1s1_U133p2.CEL.gz	GSM1589123	GSE65194	Cancer	Luminal B	NA
GSM1589124_BC16_ARN0116_s1h1s1_U133p2.CEL.gz	GSM1589124	GSE65194	Cancer	Luminal B	NA
GSM1589125_BC16_ARN0082_s1h1s1_U133p2.CEL.gz	GSM1589125	GSE65194	Cancer	Luminal B	NA
GSM1589126_BC16_ARN0060_s1h1s1_U133p2.CEL.gz	GSM1589126	GSE65194	Cancer	Luminal B	NA
GSM1589127_BC16_ARN0137_s1h1s1_U133p2.CEL.gz	GSM1589127	GSE65194	Cancer	Luminal B	NA
GSM1589128_BC16_ARN0100_s1h1s1_U133p2.CEL.gz	GSM1589128	GSE65194	Cancer	Luminal B	NA
GSM1589130_BC16_ARN0018_s1h1s1_U133p2.CEL.gz	GSM1589130	GSE65194	Healthy	Healthy	NA
GSM1589132_BC16_ARN0028_s1h1s1_U133p2.CEL.gz	GSM1589132	GSE65194	Healthy	Healthy	NA
GSM1589135_BC16_ARN0024_s1h1s1_U133p2.CEL.gz	GSM1589135	GSE65194	Healthy	Healthy	NA
GSM1589136_BC16_ARN0025_s1h1s1_U133p2.CEL.gz	GSM1589136	GSE65194	Healthy	Healthy	NA
GSM1589139_BC16_ARN0033_s1h1s1_U133p2.CEL.gz	GSM1589139	GSE65194	Healthy	Healthy	NA
GSM1589142_BC16_ARN0027_s1h1s1_U133p2.CEL.gz	GSM1589142	GSE65194	Healthy	Healthy	NA
GSM1589144_BC16_ARN0026_s1h1s1_U133p2.CEL.gz	GSM1589144	GSE65194	Healthy	Healthy	NA
GSM1589145_BC16_ARN0030_s1h1s1_U133p2.CEL.gz	GSM1589145	GSE65194	Healthy	Healthy	NA
GSM1589148_BC16_ARN0019_s1h1s1_U133p2.CEL.gz	GSM1589148	GSE65194	Healthy	Healthy	NA
GSM1589150_BC16_ARN0029_s1h1s1_U133p2.CEL.gz	GSM1589150	GSE65194	Healthy	Healthy	NA
GSM1589151_BC16_ARN0020_s1h1s1_U133p2.CEL.gz	GSM1589151	GSE65194	Healthy	Healthy	NA
