PROBEID	ENTREZID	Coverage	Specificity	Cov_Spec
1570354_s_at	169841	1	0.4379370629	0.4379370629
1570360_s_at	8653	0.25	0.7006993007	0.1751748252
1570364_at	283149	1	0.1688811189	0.1688811189
1570366_x_at	283149	1	0.1125874126	0.1125874126
1570371_a_at	165082	0.3333333333	0.5255244755	0.1751748252
1570372_at	101928207	1	0.7882867133	0.7882867133
1570375_at	100506585	1	0.7882867133	0.7882867133
1570388_a_at	440896	0.6	0.3503496503	0.2102097902
1570393_at	161436	1	0.6131118881	0.6131118881
1570394_at	54464	0.1666666667	0.7006993007	0.1167832168
1570395_a_at	440078	1	0.3503496503	0.3503496503
1570396_at	51068	1	0.0562937063	0.0562937063
1570402_at	147700	1	0.5255244755	0.5255244755
1570405_at	101929076	1	0.6131118881	0.6131118881
1570414_x_at	2250	0.5	0.3094405594	0.1547202797
1570425_s_at	9113	0.25	0.7882867133	0.1970716783
1570447_at	643365	1	0.5991258741	0.5991258741
1570473_at	284801	1	0.4664335664	0.4664335664
1570480_s_at	417	0.0111731844	0.6131118881	0.0068504122
1570515_a_at	27145	1	0.8758741259	0.8758741259
1570516_s_at	282763	1	0.3503496503	0.3503496503
1570523_s_at	83734	1	0.6131118881	0.6131118881
1570534_a_at	158399	1	0.7006993007	0.7006993007
1570546_a_at	10579	0.6	0.5255244755	0.3153146853
1570552_at	125488	0.6	0.4309440559	0.2585664336
1570584_at	196264	0.6666666667	0.1801282051	0.1200854701
1570588_at	799	0.0069767442	0.1125874126	0.0007854936
1598_g_at	2621	0.25	0.6021634615	0.1505408654
160020_at	4323	0.0833333333	0.3010817308	0.0250901442
1729_at	8717	0.0869565217	0.4793269231	0.041680602
177_at	5337	0.1739130435	0.4817307692	0.0837792642
179_at	441263	1	0.1204326923	0.1204326923
1861_at	572	0.0094339623	0.8430288462	0.0079531023
200000_s_at	10594	0.25	0.7006993007	0.1751748252
200001_at	826	0.0223463687	0.6867132867	0.0153455483
200002_at	11224	1	0.6131118881	0.6131118881
200003_s_at	6158	0.4615384615	0.8758741259	0.4042495966
200004_at	1982	1	0.5255244755	0.5255244755
200005_at	8664	1	0.7882867133	0.7882867133
200006_at	11315	0.6	0.7882867133	0.472972028
200007_at	6727	0.3333333333	0.7882867133	0.2627622378
200008_s_at	2665	0.25	0.6131118881	0.153277972
200009_at	2665	0.25	0.0875874126	0.0218968531
200010_at	6135	0.1176470588	0.4975524476	0.0585355821
200011_s_at	377	0.0070422535	0.6131118881	0.0043176894
200012_x_at	6144	0.0588235294	0.1751748252	0.0103044015
200014_s_at	3183	0.3125	0.7006993007	0.2189685315
200015_s_at	4735	0.7	0.8758741259	0.6131118881
200016_x_at	3178	0.1428571429	0.5255244755	0.0750749251
200017_at	6233	0.2142857143	0.5115384615	0.1096153846
200018_at	6207	0.25	0.7006993007	0.1751748252
200019_s_at	2197	0.0243902439	0.8758741259	0.0213627836
200020_at	23435	1	0.7882867133	0.7882867133
200021_at	1072	0.0277777778	0.8375874126	0.023266317
200022_at	6141	0.3333333333	0.6131118881	0.2043706294
200023_s_at	8665	0.5	0.7882867133	0.3941433566
200024_at	6193	0.1	0.7395104895	0.073951049
200025_s_at	6155	0.1	0.6131118881	0.0613111888
200026_at	6164	0.0336134454	0.6447552448	0.0216724452
200027_at	4677	0.1538461538	0.8758741259	0.1347498655
200028_s_at	56910	1	0.6131118881	0.6131118881
200029_at	6143	0.0869565217	0.1751748252	0.0152325935
200030_s_at	5250	0.1071428571	0.6131118881	0.0656905594
200031_s_at	6205	0.0909090909	0.7882867133	0.0716624285
200032_s_at	6133	0.3	0.8758741259	0.2627622378
200033_at	100616387	0.6	0.7006993007	0.4204195804
200034_s_at	6128	0.5	0.7006993007	0.3503496503
200035_at	23399	1	0.6131118881	0.6131118881
200036_s_at	4736	0.5	0.7006993007	0.3503496503
200037_s_at	11335	1	0.7006993007	0.7006993007
200039_s_at	5690	0.1363636364	0.7006993007	0.0955499046
200040_at	10657	1	0.7882867133	0.7882867133
200041_s_at	7919	0.2857142857	0.7006993007	0.2001998002
200042_at	51493	1	0.7006993007	0.7006993007
200043_at	2079	0.3333333333	0.8758741259	0.291958042
200044_at	8683	1	0.3503496503	0.3503496503
200045_at	102723826	0.0425531915	0.6131118881	0.0260898676
200046_at	1603	0.04	0.6131118881	0.0245244755
200047_s_at	7528	0.125	0.5255244755	0.0656905594
200048_s_at	10899	1	0.9634615385	0.9634615385
200049_at	11143	1	0.7006993007	0.7006993007
200050_at	7705	0.2	0.7493589744	0.1498717949
1553500_at	26223	1	0.5505494505	0.5505494505
1553502_a_at	114299	1	0.7882867133	0.7882867133
1553504_at	117196	1	0.5255244755	0.5255244755
1553506_at	130749	1	0.4379370629	0.4379370629
1553507_a_at	2830	0.0540540541	0.7882867133	0.0426100926
1553510_s_at	9125	0.375	0.6131118881	0.229916958
1553511_at	125111	1	0.7882867133	0.7882867133
1553512_at	3228	0.0303030303	0.7882867133	0.0238874762
1553514_a_at	55350	1	0.7006993007	0.7006993007
1553515_at	150678	0.5	0.6131118881	0.3065559441
1553517_at	222894	1	0.7006993007	0.7006993007
1553518_at	170949	1	0.3503496503	0.3503496503
1553519_at	246705	1	0.8758741259	0.8758741259
1553521_at	140596	1	0.9494755245	0.9494755245
1553523_at	338323	1	0.8758741259	0.8758741259
1553524_at	1607	0.0384615385	0.5115384615	0.0196745562
1553525_at	126204	1	0.6937062937	0.6937062937
1553526_at	126205	1	0.6131118881	0.6131118881
1553527_at	338321	1	0.7882867133	0.7882867133
1553528_a_at	6877	0.5	0.7006993007	0.3503496503
1553529_at	80834	1	0.9634615385	0.9634615385
1553530_a_at	3688	0.3076923077	0.7006993007	0.2155997848
1553532_a_at	84905	0.6	0.9634615385	0.5780769231
1553533_at	56704	1	0.9634615385	0.9634615385
1553534_at	338322	1	0.6131118881	0.6131118881
1553535_a_at	5905	0.8	0.7006993007	0.5605594406
1553536_at	10150	1	0.7882867133	0.7882867133
1553537_at	319101	1	0.5255244755	0.5255244755
1553538_s_at	101927337	0.3636363636	0.7132692308	0.2593706294
1553539_at	121391	1	0.5255244755	0.5255244755
1553540_a_at	3177	0.1515151515	0.5255244755	0.0796249205
1553541_at	4009	0.0625	0.7006993007	0.0437937063
1553542_at	202243	1	0.7882867133	0.7882867133
1553544_at	83550	1	0.7006993007	0.7006993007
1553545_at	286676	1	0.7708041958	0.7708041958
1553547_at	64062	1	0.3503496503	0.3503496503
1553549_at	317701	1	0.7006993007	0.7006993007
1553552_at	83551	1	0.6131118881	0.6131118881
1553553_at	259285	1	0.9634615385	0.9634615385
1553555_at	5726	0.3333333333	0.7882867133	0.2627622378
1553556_at	259286	1	0.7006993007	0.7006993007
1553558_at	259287	1	0.7603146853	0.7603146853
1553559_at	134285	1	0.5780769231	0.5780769231
1553560_at	317703	1	0.6131118881	0.6131118881
1553561_at	259296	1	0.5851398601	0.5851398601
1553565_s_at	23576	0.75	0.9634615385	0.7225961538
1553566_at	196500	1	0.5255244755	0.5255244755
1553568_a_at	3010	0.05	0.5255244755	0.0262762238
1553572_a_at	114757	1	0.7006993007	0.7006993007
1553573_s_at	1943	0.1666666667	0.7006993007	0.1167832168
1553574_at	338376	1	0.7006993007	0.7006993007
1553579_a_at	10407	0.5454545455	0.4379370629	0.2388747616
1553581_s_at	285672	1	0.4379370629	0.4379370629
1553582_a_at	10407	0.5454545455	0.8758741259	0.4777495232
1553583_a_at	7069	0.1	0.7882867133	0.0788286713
1553584_at	79742	0.5	0.7882867133	0.3941433566
1553587_a_at	56655	1	0.7006993007	0.7006993007
1553589_a_at	10158	1	0.7006993007	0.7006993007
1553590_at	100131997	1	0.7882867133	0.7882867133
1553593_a_at	6887	0.1428571429	0.7006993007	0.1000999001
1553594_a_at	3640	0.1818181818	0.5255244755	0.0955499046
1553599_a_at	50511	1	0.4379370629	0.4379370629
1553600_at	259236	1	0.7882867133	0.7882867133
1553601_a_at	259236	1	0.6131118881	0.6131118881
1553602_at	118430	1	0.5255244755	0.5255244755
1553603_s_at	64225	1	0.8758741259	0.8758741259
1553604_at	154664	1	0.8618881119	0.8618881119
1553605_a_at	154664	1	0.6131118881	0.6131118881
1553611_s_at	283212	1	0.5255244755	0.5255244755
1553613_s_at	2296	0.0322580645	0.9634615385	0.0310794045
1553614_a_at	101929344	1	0.7006993007	0.7006993007
1553618_at	129868	1	0.6131118881	0.6131118881
1553619_a_at	129868	1	0.7006993007	0.7006993007
1553620_at	287015	0.6666666667	0.7006993007	0.4671328671
1553622_a_at	161835	0.8333333333	0.8758741259	0.7298951049
1553626_a_at	124989	1	0.9634615385	0.9634615385
1553627_s_at	124989	1	0.8758741259	0.8758741259
1553630_at	219621	1	0.6131118881	0.6131118881
1553635_s_at	200132	1	0.7006993007	0.7006993007
1553636_at	145942	1	0.7006993007	0.7006993007
1553637_s_at	145942	1	0.7006993007	0.7006993007
1553639_a_at	133522	1	0.8758741259	0.8758741259
1553640_at	286046	1	0.7006993007	0.7006993007
1553641_a_at	114960	1	0.7006993007	0.7006993007
1553642_at	158055	1	0.7882867133	0.7882867133
1553644_at	161176	1	0.7882867133	0.7882867133
1553645_at	285025	1	0.5255244755	0.5255244755
1553646_at	139324	1	0.6659090909	0.6659090909
1553647_at	124359	1	0.7882867133	0.7882867133
1553651_at	162681	1	0.7006993007	0.7006993007
1553652_a_at	162681	1	0.8202797203	0.8202797203
1553654_at	255928	1	0.4379370629	0.4379370629
1553655_at	166979	1	0.6131118881	0.6131118881
1553656_at	6975	0.0833333333	0.6131118881	0.0510926573
1553657_at	146177	1	0.6131118881	0.6131118881
1553658_at	150197	1	0.7882867133	0.7882867133
1553660_at	135458	1	0.6131118881	0.6131118881
1553661_a_at	135458	1	0.7006993007	0.7006993007
1553663_a_at	256933	1	0.8758741259	0.8758741259
1553666_at	91057	0.5	0.8758741259	0.4379370629
1553668_at	84859	0.6666666667	0.7006993007	0.4671328671
1553672_at	55740	1	0.3398601399	0.3398601399
1553673_at	140901	1	0.2627622378	0.2627622378
1553675_at	89953	1	0.5255244755	0.5255244755
1553677_a_at	261726	0.5	0.4379370629	0.2189685315
1553678_a_at	3688	0.3076923077	0.7006993007	0.2155997848
1553679_s_at	154807	1	0.6131118881	0.6131118881
1553681_a_at	5551	0.1538461538	0.7006993007	0.1077998924
1553682_at	144699	1	0.4379370629	0.4379370629
1553683_s_at	144699	1	0.7882867133	0.7882867133
1553684_at	285755	1	0.5255244755	0.5255244755
1553685_s_at	6667	0.625	0.4379370629	0.2737106643
1553686_at	147339	1	0.5255244755	0.5255244755
1553688_at	131965	0.6666666667	0.5255244755	0.3503496503
1553689_s_at	131965	0.8333333333	0.8758741259	0.7298951049
1553690_at	151648	0.4666666667	0.4379370629	0.2043706294
1553691_at	148789	0.5	0.7882867133	0.3941433566
1553694_a_at	5286	0.4545454545	0.6131118881	0.2786872219
1553695_a_at	79671	1	0.7006993007	0.7006993007
1553696_s_at	148266	1	0.6131118881	0.6131118881
1553697_at	126731	1	0.7006993007	0.7006993007
1553698_a_at	126731	1	0.5255244755	0.5255244755
1553701_a_at	150290	1	0.7006993007	0.7006993007
1553702_at	90874	0.75	0.7006993007	0.5255244755
1553705_a_at	1131	0.1	0.7006993007	0.0700699301
1553706_at	203100	1	0.763986014	0.763986014
1553709_a_at	84950	0.5	0.7882867133	0.3941433566
1553710_at	152756	1	0.7882867133	0.7882867133
1553711_a_at	152756	1	0.7006993007	0.7006993007
1553713_a_at	121268	1	0.6131118881	0.6131118881
1553715_s_at	84331	0.25	0.7006993007	0.1751748252
1553717_at	154881	1	0.5255244755	0.5255244755
1553718_at	147694	0.6666666667	0.9634615385	0.6423076923
1553719_s_at	147694	0.6666666667	0.6131118881	0.4087412587
1553720_a_at	219287	1	0.5255244755	0.5255244755
1553721_at	220441	0.8333333333	0.8758741259	0.7298951049
1553722_s_at	220441	0.8333333333	0.7006993007	0.5839160839
1553723_at	222487	1	0.5255244755	0.5255244755
1553725_s_at	84146	0.3333333333	0.7006993007	0.2335664336
1553726_s_at	221322	1	0.9634615385	0.9634615385
1553727_at	283358	1	0.5255244755	0.5255244755
1553728_at	254050	1	0.7006993007	0.7006993007
1553729_s_at	254050	1	0.7006993007	0.7006993007
1553730_x_at	254050	1	0.7882867133	0.7882867133
1553732_s_at	84902	1	0.7006993007	0.7006993007
1553734_at	122481	1	0.8758741259	0.8758741259
1553740_a_at	3656	0.125	0.7006993007	0.0875874126
1553749_at	9987	0.2222222222	0.3120629371	0.0693473193
1553750_a_at	143684	1	0.6131118881	0.6131118881
1553752_at	128497	1	0.7006993007	0.7006993007
1553755_at	115861	1	0.7882867133	0.7882867133
1553756_at	84850	1	0.6744230769	0.6744230769
1553757_at	84859	0.4444444444	0.8758741259	0.3892773893
1553759_at	254394	0.5	0.7882867133	0.3941433566
1553764_a_at	84962	1	0.7006993007	0.7006993007
1553765_a_at	114792	0.5	0.7882867133	0.3941433566
1553768_a_at	285761	1	0.9634615385	0.9634615385
1553769_at	89886	0.5	0.6131118881	0.3065559441
1553770_a_at	89886	1	0.6131118881	0.6131118881
1553772_at	256356	1	0.5923076923	0.5923076923
1553776_at	148581	1	0.9634615385	0.9634615385
1553778_at	155368	1	0.8548951049	0.8548951049
1553781_at	92092	0.5	0.7882867133	0.3941433566
1553785_at	153020	1	0.6131118881	0.6131118881
1553787_at	219833	1	0.8758741259	0.8758741259
1553789_a_at	54058	0.1666666667	0.5255244755	0.0875874126
1553793_a_at	84162	1	0.8758741259	0.8758741259
1553794_at	161003	1	0.7882867133	0.7882867133
1553798_a_at	222235	1	0.7006993007	0.7006993007
1553799_at	196951	1	0.3503496503	0.3503496503
1553801_a_at	112487	1	0.3503496503	0.3503496503
1553802_a_at	6658	0.1	0.7006993007	0.0700699301
1553803_at	124783	1	0.7006993007	0.7006993007
1553804_a_at	124783	1	0.7006993007	0.7006993007
1553808_a_at	159296	1	0.7006993007	0.7006993007
1553809_a_at	169693	1	0.7006993007	0.7006993007
1553810_a_at	57650	1	0.7882867133	0.7882867133
1553813_s_at	79816	1	0.6131118881	0.6131118881
1553815_a_at	170082	1	0.7006993007	0.7006993007
1553822_at	132112	1	0.6131118881	0.6131118881
1553823_a_at	132112	1	0.6131118881	0.6131118881
1553826_a_at	146325	1	0.5115384615	0.5115384615
1553828_at	120400	1	0.5255244755	0.5255244755
1553829_at	285154	1	0.8758741259	0.8758741259
1553831_at	140564	0.3333333333	0.6798951049	0.2266317016
1553834_at	256076	1	0.7882867133	0.7882867133
1553835_a_at	256076	1	0.6867132867	0.6867132867
1553837_at	192111	0.3333333333	0.3503496503	0.1167832168
1553838_at	152940	1	0.6131118881	0.6131118881
1553842_at	139105	0.3333333333	0.5255244755	0.1751748252
1553843_at	256815	1	0.4344405594	0.4344405594
1553844_a_at	256815	1	0.5255244755	0.5255244755
1553845_x_at	256815	1	0.3503496503	0.3503496503
1553846_at	220082	1	0.4379370629	0.4379370629
1553847_a_at	220082	1	0.7882867133	0.7882867133
1553851_at	121599	1	0.7882867133	0.7882867133
1553852_at	157680	0.8571428571	0.7882867133	0.6756743257
1553856_s_at	27334	0.75	0.8758741259	0.6569055944
1553857_at	283284	1	0.3503496503	0.3503496503
1553858_at	79842	1	0.4379370629	0.4379370629
1553859_at	7166	0.0833333333	0.4204545455	0.0350378788
1553860_at	149095	1	0.8758741259	0.8758741259
1553861_at	255394	0.8333333333	0.6131118881	0.5109265734
1553863_at	57705	0.75	0.4379370629	0.3284527972
1553864_at	2849	0.023255814	0.7882867133	0.0183322491
1553865_a_at	2849	0.023255814	0.4379370629	0.0101845829
1553868_a_at	285600	0.3333333333	0.7006993007	0.2335664336
1553871_at	255193	1	0.6131118881	0.6131118881
1553872_at	256302	1	0.5255244755	0.5255244755
1553873_at	257240	1	0.7743006993	0.7743006993
1553874_a_at	84891	1	0.9634615385	0.9634615385
1553875_s_at	84891	1	0.5255244755	0.5255244755
1553878_at	137362	1	0.8758741259	0.8758741259
1553879_a_at	137362	1	0.6131118881	0.6131118881
1553883_at	7652	1	0.3503496503	0.3503496503
1553885_x_at	7652	1	0.3503496503	0.3503496503
1553886_at	255101	0.1666666667	0.7006993007	0.1167832168
1553887_at	284369	1	0.7882867133	0.7882867133
1553888_at	160287	1	0.6867132867	0.6867132867
1553889_at	117194	1	0.5255244755	0.5255244755
1553890_s_at	126147	1	0.6131118881	0.6131118881
1553891_at	128209	1	0.4379370629	0.4379370629
1553893_at	126402	1	0.7882867133	0.7882867133
1553895_at	160298	1	0.7006993007	0.7006993007
1553901_x_at	90649	0.5	0.0736013986	0.0368006993
1553905_at	170063	1	0.6131118881	0.6131118881
1553906_s_at	221472	1	0.3503496503	0.3503496503
1553907_a_at	161829	1	0.7882867133	0.7882867133
1553914_at	162137	1	0.7006993007	0.7006993007
1553915_at	283080	1	0.7006993007	0.7006993007
1553917_at	200576	0.5	0.9634615385	0.4817307692
1553919_at	157927	1	0.7006993007	0.7006993007
1553923_at	283238	1	0.6867132867	0.6867132867
1553924_at	116123	1	0.7882867133	0.7882867133
1553927_at	202865	1	0.7006993007	0.7006993007
1553928_at	255520	1	0.6131118881	0.6131118881
1553929_at	125981	1	0.7006993007	0.7006993007
1553930_at	134864	1	0.2890384615	0.2890384615
1553931_at	202459	1	0.5255244755	0.5255244755
1553938_a_at	202374	1	0.7006993007	0.7006993007
1553940_a_at	123355	0.75	0.8758741259	0.6569055944
1553944_at	117153	1	0.7882867133	0.7882867133
1553945_at	122876	1	0.7006993007	0.7006993007
1553946_at	117159	1	0.8758741259	0.8758741259
1553947_at	118460	1	0.8758741259	0.8758741259
1553952_at	131540	1	0.6131118881	0.6131118881
1553954_at	199857	1	0.9634615385	0.9634615385
1553955_at	129285	1	0.7006993007	0.7006993007
1553956_at	65062	1	0.6131118881	0.6131118881
1553957_at	163050	1	0.7882867133	0.7882867133
1553959_a_at	126792	1	0.9634615385	0.9634615385
1553960_at	90203	1	0.5255244755	0.5255244755
1553961_s_at	90203	1	0.7006993007	0.7006993007
1553962_s_at	388	0.0028985507	0.7882867133	0.002284889
1553967_at	113179	1	0.7006993007	0.7006993007
1553968_a_at	113179	1	0.8758741259	0.8758741259
1553970_s_at	1056	0.0344827586	0.8758741259	0.0302025561
1553973_a_at	404203	1	0.5255244755	0.5255244755
1553974_at	128977	0.5	0.7882867133	0.3941433566
1553976_a_at	25911	1	0.8758741259	0.8758741259
1553977_a_at	51302	0.75	0.6131118881	0.4598339161
1553978_at	729991	0.5	0.6131118881	0.3065559441
1553982_a_at	338382	1	0.6131118881	0.6131118881
1553984_s_at	1841	1	0.4379370629	0.4379370629
1553986_at	158158	1	0.8758741259	0.8758741259
1553989_a_at	245973	1	0.6131118881	0.6131118881
1553990_at	283870	1	0.4379370629	0.4379370629
1553991_s_at	54621	1	0.6131118881	0.6131118881
1553992_s_at	10230	1	0.6131118881	0.6131118881
1553993_s_at	81857	0.5	0.9634615385	0.4817307692
1553995_a_at	4907	0.1818181818	0.6131118881	0.1114748887
1553997_a_at	253982	1	0.9634615385	0.9634615385
1554004_a_at	64283	1	0.7882867133	0.7882867133
1554006_a_at	3993	0.4615384615	0.7006993007	0.3233996772
1554008_at	9180	0.0588235294	0.7882867133	0.0463698067
1554012_at	340419	1	0.7006993007	0.7006993007
1554014_at	1106	0.0222222222	0.6131118881	0.0136247086
