PROBEID	ENTREZID	Coverage	Specificity	Cov_Spec
ILMN_1754304 154007 0.5 0.996 0.498
ILMN_1792363 9622 0.5 0.996 0.498
ILMN_2147424 5273 1 0.996 0.996
ILMN_1715393 4101 1 0.941916666666667 0.941916666666667
ILMN_1752009 340719 1 0.996 0.996
ILMN_1716469 340719 1 0.996 0.996
ILMN_1687052 5079 1 0.996 0.996
ILMN_1652907 988 0.5 0.996 0.498
ILMN_3249105 283238 1 0.996 0.996
ILMN_1667626 112399 0.25 0.996 0.249
ILMN_1803803 56158 1 0.996 0.996
ILMN_1658593 643401 1 0.996 0.996
ILMN_1700280 643401 1 0.996 0.996
ILMN_1747715 730109 1 0.996 0.996
ILMN_1694653 84735 1 0.996 0.996
ILMN_2346460 79664 0.666666666666667 0.996 0.664
ILMN_1666610 79664 0.333333333333333 0.996 0.332
ILMN_3184048 285966 0.5 0.996 0.498
ILMN_1675423 50636 1 0.996 0.996
ILMN_1683824 50636 0.666666666666667 0.996 0.664
ILMN_1792910 4335 1 0.996 0.996
ILMN_3272996 6144 1 0.877 0.877
ILMN_3311070 693120 1 0.996 0.996
ILMN_2345898 6503 1 0.996 0.996
ILMN_2122669 10210 1 0.996 0.996
ILMN_1799743 4606 1 0.996 0.996
ILMN_2112402 84844 1 0.996 0.996
ILMN_1775901 84844 1 0.996 0.996
ILMN_2043060 23007 1 0.996 0.996
ILMN_1790603 64756 1 0.996 0.996
ILMN_1796734 6678 1 0.996 0.996
ILMN_1695280 23293 0.625 0.996 0.6225
ILMN_1805300 64853 1 0.917 0.917
ILMN_1698952 8792 0.833333333333333 0.996 0.83
ILMN_1753190 375748 0.666666666666667 0.996 0.664
ILMN_3249088 93432 1 0.996 0.996
ILMN_1790680 5147 0.666666666666667 0.996 0.664
ILMN_1667081 894 1 0.996 0.996
ILMN_3241234 6282 1 0.798 0.798
ILMN_1762018 139420 1 0.996 0.996
ILMN_3307796 64376 1 0.996 0.996
ILMN_1668125 25924 1 0.996 0.996
ILMN_1692429 10084 0.1 0.996 0.0996
ILMN_2183885 136647 1 0.996 0.996
ILMN_1745119 136647 1 0.996 0.996
ILMN_3248857 50604 1 0.996 0.996
ILMN_2323427 2035 0.875 0.996 0.8715
ILMN_1732976 2259 0.5 0.996 0.498
ILMN_2385220 1676 1 0.996 0.996
ILMN_2340202 54897 1 0.996 0.996
ILMN_2256953 54897 0.25 0.996 0.249
ILMN_1716154 10826 1 0.996 0.996
ILMN_1728742 10826 1 0.996 0.996
ILMN_3308728 693220 1 0.996 0.996
ILMN_1770141 10474 0.333333333333333 0.996 0.332
ILMN_1792176 10474 1 0.996 0.996
ILMN_1812100 727957 0.818181818181818 0.996 0.814909090909091
ILMN_3307211 54067 1 0.996 0.996
ILMN_1810037 9853 1 0.996 0.996
ILMN_1705900 25814 1 0.996 0.996
ILMN_2253286 5590 0.166666666666667 0.996 0.166
ILMN_1807234 90592 1 0.996 0.996
ILMN_2068435 90592 1 0.996 0.996
ILMN_1804328 11059 1 0.996 0.996
ILMN_1745447 3097 1 0.996 0.996
ILMN_1687636 20 0.333333333333333 0.996 0.332
ILMN_1747627 20 1 0.996 0.996
ILMN_1741594 1185 1 0.996 0.996
ILMN_1813379 3604 1 0.996 0.996
ILMN_1667711 11145 1 0.996 0.996
ILMN_1815120 63978 1 0.996 0.996
ILMN_1676575 10320 0.928571428571429 0.996 0.924857142857143
ILMN_1792681 79080 1 0.996 0.996
ILMN_2371724 634 1 0.996 0.996
ILMN_1716815 634 1 0.996 0.996
ILMN_1679767 399717 0.2 0.996 0.1992
ILMN_2381994 9372 1 0.996 0.996
ILMN_1776848 9372 1 0.996 0.996
ILMN_1782447 134121 1 0.996 0.996
ILMN_1660935 84747 1 0.996 0.996
ILMN_1804562 1317 1 0.996 0.996
ILMN_1668996 708 1 0.996 0.996
ILMN_1725870 148581 0.666666666666667 0.996 0.664
ILMN_1696911 2495 1 0.659 0.659
ILMN_1755158 7093 1 0.996 0.996
ILMN_1797544 54768 0.333333333333333 0.996 0.332
ILMN_1732143 100287569 0.5 0.996 0.498
ILMN_1801313 6478 1 0.996 0.996
ILMN_1788095 84926 1 0.996 0.996
ILMN_3285607 284418 1 0.937 0.937
ILMN_3209098 284418 1 0.996 0.996
ILMN_1651229 9670 1 0.996 0.996
ILMN_1658144 9321 1 0.996 0.996
ILMN_3246286 122183 1 0.996 0.996
ILMN_2390435 8022 1 0.996 0.996
ILMN_2284893 8022 0.333333333333333 0.996 0.332
ILMN_1770848 119559 0.333333333333333 0.996 0.332
ILMN_3239595 545 1 0.996 0.996
ILMN_1744395 284371 0.5 0.996 0.498
ILMN_1769140 158405 0.75 0.996 0.747
ILMN_1726642 57673 0.2 0.996 0.1992
ILMN_1665457 170482 0.5 0.996 0.498
ILMN_1771333 961 1 0.996 0.996
ILMN_1797482 2639 1 0.996 0.996
ILMN_1769433 10788 1 0.996 0.996
ILMN_1786326 79047 1 0.996 0.996
ILMN_1784207 57095 1 0.996 0.996
ILMN_1745356 4283 1 0.996 0.996
ILMN_3191756 150538 1 0.996 0.996
ILMN_3268228 150538 1 0.996 0.996
ILMN_1744211 255189 1 0.996 0.996
ILMN_1718929 1417 1 0.996 0.996
ILMN_1811468 79191 1 0.996 0.996
ILMN_1770787 23564 1 0.996 0.996
ILMN_1699737 10131 0.4 0.996 0.3984
ILMN_1682256 401207 0.5 0.996 0.498
ILMN_1810227 7275 0.25 0.996 0.249
ILMN_2263829 23556 0.5 0.996 0.498
ILMN_2352724 23556 1 0.996 0.996
ILMN_1770425 10423 1 0.996 0.996
ILMN_3255636 414194 1 0.996 0.996
ILMN_1766401 125963 1 0.996 0.996
ILMN_1666221 138649 1 0.996 0.996
ILMN_2334296 10068 0.875 0.996 0.8715
ILMN_2253759 10068 0.375 0.996 0.3735
ILMN_1736412 269 0.8 0.996 0.7968
ILMN_3265343 100506144 1 0.996 0.996
ILMN_1787509 85441 1 0.996 0.996
ILMN_1708508 22843 1 0.996 0.996
ILMN_3302484 85395 0.8 0.996 0.7968
ILMN_3225894 85395 1 0.917 0.917
ILMN_3278603 644189 1 0.996 0.996
ILMN_2293992 9364 0.6 0.996 0.5976
ILMN_1810467 5518 1 0.996 0.996
ILMN_1730347 84317 1 0.996 0.996
ILMN_1657440 3747 1 0.996 0.996
ILMN_1685767 54097 1 0.996 0.996
ILMN_1783394 468 0.5 0.996 0.498
ILMN_1748438 5436 1 0.996 0.996
ILMN_3202576 84837 1 0.917 0.917
ILMN_1759613 84968 1 0.996 0.996
ILMN_1809931 10397 1 0.996 0.996
ILMN_1787879 402 1 0.996 0.996
ILMN_1652540 285613 1 0.996 0.996
ILMN_1660168 401508 0.5 0.917 0.4585
ILMN_1702708 5523 0.5 0.996 0.498
ILMN_2376520 5523 1 0.996 0.996
ILMN_1708901 4109 0.333333333333333 0.996 0.332
ILMN_2341067 57502 1 0.996 0.996
ILMN_3245897 728190 0.5 0.996 0.498
ILMN_2350421 58509 1 0.996 0.996
ILMN_2262462 58509 0.5 0.996 0.498
ILMN_3267670 55632 0.5 0.937 0.4685
ILMN_1742779 91687 1 0.996 0.996
ILMN_2196550 80183 1 0.996 0.996
ILMN_1773388 80183 1 0.996 0.996
ILMN_3229652 6223 1 0.818 0.818
ILMN_1658809 124925 1 0.996 0.996
ILMN_2395285 11066 0.8 0.996 0.7968
ILMN_3236239 100129550 1 0.996 0.996
ILMN_2094396 84230 0.222222222222222 0.996 0.221333333333333
ILMN_1793215 9677 1 0.956 0.956
ILMN_1716973 27434 0.6 0.996 0.5976
ILMN_1661109 467 0.166666666666667 0.996 0.166
ILMN_1660608 2562 0.4 0.996 0.3984
ILMN_1709681 2562 1 0.996 0.996
ILMN_1767503 2562 1 0.996 0.996
ILMN_1687090 2562 1 0.996 0.996
ILMN_1808825 256892 1 0.996 0.996
ILMN_2193545 256892 1 0.996 0.996
ILMN_1731023 29803 0.1 0.996 0.0996
ILMN_1687556 92196 1 0.996 0.996
ILMN_1778668 6876 1 0.996 0.996
ILMN_2400935 6876 1 0.996 0.996
ILMN_2077758 51496 0.6 0.996 0.5976
ILMN_3176875 100287704 1 0.8575 0.8575
ILMN_1706376 5007 1 0.996 0.996
ILMN_1729777 177 0.5 0.996 0.498
ILMN_2257015 177 0.8 0.996 0.7968
ILMN_1690829 177 0.7 0.996 0.6972
ILMN_1683316 285800 1 0.996 0.996
ILMN_2359159 1825 1 0.996 0.996
ILMN_1652306 84466 1 0.996 0.996
ILMN_2146389 84466 1 0.996 0.996
ILMN_1714523 9843 1 0.996 0.996
ILMN_1707351 120775 1 0.996 0.996
ILMN_2226015 120892 1 0.996 0.996
ILMN_1776649 120892 1 0.996 0.996
ILMN_1672536 2192 0.25 0.996 0.249
ILMN_2312606 3663 1 0.996 0.996
ILMN_3265895 10236 1 0.996 0.996
ILMN_1692223 3934 1 0.996 0.996
ILMN_1748102 27091 1 0.996 0.996
ILMN_3252185 101927889 1 0.996 0.996
ILMN_1756541 10608 1 0.996 0.996
ILMN_3242257 347689 1 0.996 0.996
ILMN_1700168 23395 1 0.996 0.996
ILMN_1652254 100996669 1 0.937 0.937
ILMN_1701933 6622 1 0.996 0.996
ILMN_1652243 127731 1 0.996 0.996
ILMN_2179778 90102 1 0.976 0.976
ILMN_1719792 90102 1 0.996 0.996
ILMN_1805730 84103 1 0.996 0.996
ILMN_1710410 1131 1 0.996 0.996
ILMN_2051519 6168 1 0.996 0.996
ILMN_1803219 147798 1 0.996 0.996
ILMN_1795754 1193 1 0.996 0.996
ILMN_3308240 100313838 1 0.996 0.996
ILMN_1878273 10290 0.777777777777778 0.996 0.774666666666667
ILMN_1658327 11177 0.5 0.996 0.498
ILMN_3256445 6637 1 0.917 0.917
ILMN_1776995 342892 1 0.917 0.917
ILMN_1794442 84627 1 0.996 0.996
ILMN_1789773 84627 1 0.996 0.996
ILMN_1682181 5260 1 0.996 0.996
ILMN_2224955 6375 1 0.996 0.996
ILMN_1718792 6375 1 0.996 0.996
ILMN_2069615 66005 0.625 0.996 0.6225
ILMN_1693961 347732 1 0.996 0.996
ILMN_1686313 5365 1 0.996 0.996
ILMN_2065022 9912 0.333333333333333 0.996 0.332
ILMN_1718770 284358 1 0.996 0.996
ILMN_1702657 440695 1 0.996 0.996
ILMN_1759260 146212 1 0.996 0.996
ILMN_1687291 441549 1 0.996 0.996
ILMN_1811258 5971 1 0.996 0.996
ILMN_1813955 29946 0.333333333333333 0.996 0.332
ILMN_1813197 84189 1 0.996 0.996
ILMN_1745132 10220 0.666666666666667 0.996 0.664
ILMN_1762670 140683 1 0.996 0.996
ILMN_1693683 11333 1 0.996 0.996
ILMN_1765014 442425 1 0.996 0.996
ILMN_1792748 1373 0.75 0.996 0.747
ILMN_1812856 90204 0.5 0.996 0.498
ILMN_3200565 25926 1 0.798 0.798
ILMN_1742753 283159 1 0.996 0.996
ILMN_1710684 145282 1 0.996 0.996
ILMN_1694476 3145 0.142857142857143 0.996 0.142285714285714
ILMN_1717737 51661 1 0.996 0.996
ILMN_1810376 399947 1 0.996 0.996
ILMN_2323338 8856 1 0.996 0.996
ILMN_3241870 83786 1 0.996 0.996
ILMN_1665832 3397 0.5 0.996 0.498
ILMN_1664861 3397 1 0.996 0.996
ILMN_1658802 200185 1 0.996 0.996
ILMN_2160124 79441 1 0.996 0.996
ILMN_2171396 645745 1 0.996 0.996
ILMN_1761280 23620 1 0.996 0.996
ILMN_3178043 222389 1 0.996 0.996
ILMN_3230853 222389 0.25 0.996 0.249
ILMN_1735489 2165 1 0.996 0.996
ILMN_3239435 3064 1 0.996 0.996
ILMN_3197823 11173 1 0.679 0.679
ILMN_3182301 317716 1 0.996 0.996
ILMN_2216265 83752 0.666666666666667 0.996 0.664
ILMN_1691480 83752 0.666666666666667 0.996 0.664
ILMN_1656134 29883 1 0.996 0.996
ILMN_1715886 29883 0.666666666666667 0.996 0.664
ILMN_1789879 57539 1 0.996 0.996
ILMN_1675325 2028 1 0.996 0.996
ILMN_1796244 10421 1 0.996 0.996
ILMN_1710873 27309 1 0.996 0.996
ILMN_1660097 3358 1 0.996 0.996
ILMN_1674785 1280 1 0.996 0.996
ILMN_1766320 3562 1 0.996 0.996
ILMN_1724040 65124 1 0.996 0.996
ILMN_1711089 134218 1 0.996 0.996
ILMN_1714563 134218 0.5 0.996 0.498
ILMN_1668778 5563 1 0.996 0.996
ILMN_1716080 867 1 0.996 0.996
ILMN_2117323 5287 0.75 0.996 0.747
ILMN_1810488 4802 1 0.996 0.996
ILMN_3235584 9866 1 0.996 0.996
ILMN_1790713 388701 1 0.996 0.996
ILMN_1759369 66037 1 0.996 0.996
ILMN_1781833 66037 0.2 0.996 0.1992
ILMN_1752867 54429 1 0.996 0.996
ILMN_1771957 11253 1 0.996 0.996
ILMN_1715175 4233 1 0.996 0.996
ILMN_1806502 7718 1 0.996 0.996
ILMN_2371825 178 1 0.996 0.996
ILMN_2274377 178 0.142857142857143 0.996 0.142285714285714
ILMN_1768227 1634 0.142857142857143 0.996 0.142285714285714
ILMN_1774110 1124 0.6 0.996 0.5976
ILMN_2292187 1124 0.2 0.996 0.1992
ILMN_2403237 1124 0.6 0.996 0.5976
ILMN_1687384 2537 1 0.996 0.996
ILMN_1801886 9153 1 0.996 0.996
ILMN_1711958 56888 1 0.996 0.996
ILMN_1839052 56888 1 0.996 0.996
ILMN_1696701 344595 0.5 0.996 0.498
ILMN_1812946 54112 1 0.996 0.996
ILMN_3273198 55153 1 0.996 0.996
ILMN_3245919 4588 0.333333333333333 0.897 0.299
ILMN_2386818 55665 1 0.996 0.996
ILMN_1722209 50615 0.333333333333333 0.996 0.332
ILMN_1703036 56897 0.666666666666667 0.996 0.664
ILMN_1653618 26009 1 0.996 0.996
ILMN_3184595 6041 1 0.956 0.956
ILMN_1736460 56890 0.5 0.996 0.498
ILMN_1801939 9133 1 0.996 0.996
ILMN_1661458 375 0.25 0.996 0.249
ILMN_3239031 81493 1 0.996 0.996
ILMN_1794677 11322 1 0.996 0.996
ILMN_1662168 6670 0.666666666666667 0.996 0.664
ILMN_2231021 79134 1 0.996 0.996
ILMN_2231020 79134 1 0.996 0.996
ILMN_1682330 138805 1 0.996 0.996
ILMN_1717468 178 0.142857142857143 0.996 0.142285714285714
ILMN_1728199 5426 1 0.996 0.996
ILMN_2133638 23399 1 0.996 0.996
ILMN_3242330 140876 1 0.996 0.996
ILMN_1732688 1854 1 0.996 0.996
ILMN_1795464 4049 1 0.996 0.996
ILMN_1724009 79918 1 0.996 0.996
ILMN_3246484 285194 1 0.996 0.996
ILMN_1799289 128308 0.35 0.996 0.3486
ILMN_1718070 842 1 0.996 0.996
ILMN_1788268 8774 1 0.996 0.996
ILMN_3308743 406912 1 0.996 0.996
ILMN_3273493 22919 1 0.659 0.659
ILMN_2410965 84245 1 0.996 0.996
ILMN_2296284 84245 0.5 0.996 0.498
ILMN_1813766 10171 1 0.996 0.996
ILMN_1729596 64423 0.2 0.996 0.1992
ILMN_1792242 56260 1 0.996 0.996
ILMN_1695016 84074 1 0.917 0.917
ILMN_3237385 29982 1 0.996 0.996
ILMN_1768007 165100 1 0.996 0.996
ILMN_1716342 55610 0.666666666666667 0.996 0.664
ILMN_1655702 51099 1 0.996 0.996
ILMN_1793616 152006 1 0.996 0.996
ILMN_1725529 7329 0.25 0.996 0.249
ILMN_1708025 11030 0.142857142857143 0.996 0.142285714285714
ILMN_1679177 92935 1 0.996 0.996
ILMN_1735156 83959 1 0.996 0.996
ILMN_2151114 7447 1 0.996 0.996
ILMN_1783231 58473 1 0.996 0.996
ILMN_1801913 10465 1 0.996 0.996
ILMN_1744968 7881 1 0.996 0.996
ILMN_1811072 7881 0.2 0.996 0.1992
ILMN_3269021 100129636 1 0.996 0.996
ILMN_1692779 55015 1 0.996 0.996
ILMN_2227266 59353 1 0.996 0.996
ILMN_1730811 5350 1 0.996 0.996
ILMN_2192245 5350 1 0.996 0.996
ILMN_1698191 10389 1 0.857 0.857
ILMN_3289171 6232 1 0.917 0.917
ILMN_1671374 28974 1 0.996 0.996
ILMN_2304289 23426 1 0.996 0.996
ILMN_1743394 3174 1 0.996 0.996
ILMN_1675445 205717 1 0.996 0.996
ILMN_2371685 7324 0.5 0.996 0.498
ILMN_1704166 348801 1 0.996 0.996
ILMN_1652693 6469 1 0.996 0.996
ILMN_2198413 26579 1 0.996 0.996
ILMN_1679641 84498 1 0.996 0.996
ILMN_3309499 100302112 1 0.996 0.996
ILMN_1661363 22927 1 0.996 0.996
ILMN_1784753 51247 1 0.996 0.996
ILMN_2267104 51247 0.333333333333333 0.996 0.332
ILMN_1739573 27327 0.4 0.996 0.3984
ILMN_1714622 27327 0.8 0.996 0.7968
ILMN_1752409 27327 0.8 0.996 0.7968
ILMN_2124433 55511 1 0.996 0.996
ILMN_1815093 390261 1 0.996 0.996
ILMN_1689037 9388 1 0.996 0.996
ILMN_2189027 9388 1 0.996 0.996
ILMN_1678745 84955 0.666666666666667 0.996 0.664
ILMN_1791642 90333 0.25 0.996 0.249
ILMN_1724207 3712 1 0.996 0.996
ILMN_3279996 649395 1 0.996 0.996
ILMN_1681310 84179 1 0.996 0.996
ILMN_1779584 51096 1 0.996 0.996
ILMN_1802831 54545 0.75 0.996 0.747
ILMN_1741692 2300 1 0.996 0.996
ILMN_3308285 100302191 1 0.996 0.996
ILMN_2211003 283431 1 0.996 0.996
ILMN_1711254 10885 1 0.996 0.996
ILMN_2393067 3386 1 0.943333333333333 0.943333333333333
ILMN_2382290 79412 1 0.996 0.996
ILMN_3308415 442905 1 0.996 0.996
ILMN_1811345 10249 0.5 0.996 0.498
ILMN_1737738 55967 1 0.996 0.996
ILMN_3203765 11173 1 0.838 0.838
ILMN_1800638 10659 0.1 0.996 0.0996
ILMN_2197365 5997 1 0.996 0.996
ILMN_1654493 54663 1 0.996 0.996
ILMN_1761782 10268 1 0.956 0.956
ILMN_3309529 100313842 1 0.996 0.996
ILMN_1780417 89874 1 0.996 0.996
ILMN_2061318 6884 1 0.996 0.996
ILMN_2061327 6884 1 0.996 0.996
ILMN_1742276 84060 1 0.996 0.996
ILMN_1804217 64864 0.666666666666667 0.996 0.664
ILMN_3310860 693166 1 0.996 0.996
ILMN_1773906 8031 1 0.996 0.996
ILMN_3246206 677845 1 0.996 0.996
ILMN_3280952 6191 1 0.738 0.738
ILMN_3244571 8287 1 0.996 0.996
ILMN_1716679 55179 0.25 0.917 0.22925
ILMN_1763712 3170 0.333333333333333 0.996 0.332
ILMN_1749327 5603 1 0.996 0.996
ILMN_1755674 10876 1 0.996 0.996
ILMN_1679535 79819 0.333333333333333 0.996 0.332
ILMN_1670554 79819 1 0.996 0.996
ILMN_2158336 56904 1 0.996 0.996
ILMN_1666596 94086 1 0.996 0.996
ILMN_3309458 767583 1 0.996 0.996
ILMN_1839422 8629 0.5 0.917 0.4585
ILMN_1661307 8629 0.5 0.996 0.498
ILMN_1808919 89781 0.333333333333333 0.996 0.332
ILMN_2282718 89781 0.166666666666667 0.996 0.166
ILMN_3243457 126549 1 0.996 0.996
ILMN_1699574 8829 0.75 0.996 0.747
ILMN_1695807 8444 0.833333333333333 0.996 0.83
ILMN_1711516 523 1 0.996 0.996
ILMN_1680109 10087 1 0.996 0.996
ILMN_2292123 10087 0.75 0.996 0.747
ILMN_2371147 9274 1 0.996 0.996
ILMN_2231299 253190 1 0.903666666666667 0.903666666666667
ILMN_2231298 253190 1 0.996 0.996
ILMN_2045729 55759 1 0.996 0.996
ILMN_1770692 55759 1 0.996 0.996
ILMN_2211790 11173 1 0.996 0.996
ILMN_2045175 51058 1 0.996 0.996
ILMN_1692938 29968 1 0.996 0.996
ILMN_2234970 29985 0.5 0.996 0.498
ILMN_1710543 29985 1 0.996 0.996
ILMN_2371700 55559 1 0.996 0.996
ILMN_2204576 345275 1 0.996 0.996
ILMN_1683844 345275 1 0.996 0.996
ILMN_2044081 245909 1 0.996 0.996
ILMN_3201663 6146 1 0.996 0.996
ILMN_3278146 6146 1 0.818 0.818
ILMN_3181420 10042 1 0.996 0.996
ILMN_3257884 10042 1 0.996 0.996
ILMN_1758333 10042 1 0.996 0.996
ILMN_1708743 64943 1 0.996 0.996
ILMN_2389064 84419 1 0.996 0.996
ILMN_1690036 554206 1 0.996 0.996
ILMN_1811278 54546 1 0.996 0.996
ILMN_2334322 57708 0.866666666666667 0.996 0.8632
ILMN_2392818 6242 1 0.996 0.996
ILMN_1724295 6173 1 0.917 0.917
ILMN_3238106 84140 0.5 0.996 0.498
ILMN_3272576 100128002 1 0.996 0.996
ILMN_2227817 2940 1 0.996 0.996
ILMN_1764052 1961 1 0.857 0.857
ILMN_3308926 768216 1 0.996 0.996
ILMN_1777565 6891 0.666666666666667 0.996 0.664
ILMN_1779034 55191 1 0.996 0.996
ILMN_1693071 339145 1 0.996 0.996
ILMN_1738909 6738 0.5 0.996 0.498
ILMN_1792933 345274 1 0.996 0.996
ILMN_2316540 65003 1 0.996 0.996
ILMN_3309579 100126318 1 0.996 0.996
ILMN_1770963 10004 1 0.996 0.996
ILMN_2058070 4738 1 0.937 0.937
ILMN_1786722 25946 1 0.996 0.996
ILMN_2298171 283150 1 0.996 0.996
ILMN_1685779 283150 1 0.996 0.996
ILMN_1707985 283150 1 0.996 0.996
ILMN_1770460 283150 1 0.996 0.996
ILMN_1783676 80071 1 0.996 0.996
ILMN_1717168 56111 0.5 0.996 0.498
ILMN_1756522 353142 1 0.996 0.996
ILMN_1662675 2515 1 0.996 0.996
ILMN_1676984 1649 1 0.996 0.996
ILMN_1766593 57661 1 0.996 0.996
ILMN_3245476 57661 1 0.996 0.996
ILMN_3310371 100126351 1 0.996 0.996
ILMN_1732923 57568 1 0.996 0.996
ILMN_3206986 63970 0.25 0.996 0.249
ILMN_1756693 55114 0.714285714285714 0.996 0.711428571428571
ILMN_3229083 27131 1 0.838 0.838
ILMN_1744765 3851 1 0.996 0.996
ILMN_1724315 22853 1 0.996 0.996
ILMN_1771039 51512 0.5 0.996 0.498
ILMN_1681542 8294 0.0714285714285714 0.996 0.0711428571428571
ILMN_1767244 79290 1 0.996 0.996
ILMN_1659929 6927 1 0.996 0.996
ILMN_1766770 169166 1 0.996 0.996
ILMN_1658502 54581 0.25 0.996 0.249
ILMN_1751785 10655 1 0.996 0.996
ILMN_1728183 10655 0.166666666666667 0.996 0.166
ILMN_1803211 26232 1 0.996 0.996
ILMN_1725718 201516 1 0.996 0.996
ILMN_1803194 2584 1 0.996 0.996
ILMN_3236149 26791 1 0.996 0.996
ILMN_1806198 340547 1 0.996 0.996
ILMN_3225246 728463 1 0.996 0.996
ILMN_1743806 57409 1 0.996 0.996
ILMN_3187980 404665 1 0.996 0.996
ILMN_1788122 221357 1 0.996 0.996
ILMN_1744458 54905 1 0.996 0.996
ILMN_1791884 128439 0.5 0.996 0.498
ILMN_1768226 54470 0.8 0.996 0.7968
ILMN_2414533 54470 1 0.996 0.996
ILMN_1716026 54470 0.6 0.996 0.5976
ILMN_1652754 126299 1 0.996 0.996
ILMN_1732716 1124 0.3 0.996 0.2988
ILMN_1706571 11046 1 0.996 0.996
ILMN_1717173 1894 1 0.996 0.996
ILMN_1708845 4543 1 0.996 0.996
ILMN_1752111 50485 0.714285714285714 0.996 0.711428571428571
ILMN_1737663 129790 0.5 0.996 0.498
ILMN_2383611 5791 1 0.996 0.996
ILMN_1734543 5791 1 0.996 0.996
ILMN_1660907 5791 0.2 0.996 0.1992
ILMN_1706635 1991 1 0.996 0.996
ILMN_1815320 2516 0.666666666666667 0.996 0.664
ILMN_1798210 144455 1 0.996 0.996
ILMN_1656546 9826 0.6 0.996 0.5976
ILMN_1661750 7429 1 0.996 0.996
ILMN_1725808 2567 0.5 0.996 0.498
ILMN_1719286 5476 1 0.996 0.996
ILMN_1844408 5362 1 0.996 0.996
ILMN_1680617 5362 1 0.996 0.996
ILMN_2325394 4439 0.666666666666667 0.9465 0.631
ILMN_1697476 643763 1 0.996 0.996
ILMN_1712162 339967 0.666666666666667 0.996 0.664
ILMN_1747613 3748 0.5 0.996 0.498
ILMN_1723048 57165 1 0.996 0.996
ILMN_1683933 327657 1 0.996 0.996
ILMN_3243121 284835 1 0.996 0.996
ILMN_1768940 1306 1 0.996 0.996
ILMN_1724265 25859 0.333333333333333 0.996 0.332
ILMN_1667162 4824 1 0.818 0.818
ILMN_1749540 282996 1 0.996 0.996
ILMN_2408112 131450 1 0.996 0.996
ILMN_1775466 10557 0.4 0.9265 0.3706
ILMN_1752281 23317 1 0.996 0.996
ILMN_1914857 494513 1 0.996 0.996
ILMN_1732799 947 1 0.996 0.996
ILMN_1694249 947 0.5 0.956 0.478
ILMN_1773848 145858 1 0.996 0.996
ILMN_1744666 100505679 1 0.976 0.976
ILMN_1660358 388210 0.5 0.996 0.498
ILMN_1797169 403253 1 0.996 0.996
ILMN_2412927 29925 1 0.996 0.996
ILMN_1773645 29925 1 0.996 0.996
ILMN_1775925 8339 0.2 0.996 0.1992
ILMN_2345739 65981 0.888888888888889 0.996 0.885333333333333
ILMN_1705750 7052 0.5 0.996 0.498
ILMN_1802923 344 1 0.996 0.996
ILMN_1677402 387763 1 0.996 0.996
ILMN_1783547 285577 1 0.996 0.996
ILMN_3237396 79719 1 0.996 0.996
ILMN_3245822 677769 0.5 0.996 0.498
ILMN_3294365 3149 1 0.758 0.758
ILMN_2366703 23678 1 0.996 0.996
ILMN_1713985 84232 1 0.996 0.996
ILMN_3239955 149775 1 0.996 0.996
ILMN_3273222 5827 1 0.996 0.996
ILMN_3263702 100128881 1 0.996 0.996
